state_raw,year,atms,source_sheet,total_row_label
MAHARASHTRA,2024,28814.0,State-Wise March-24,GRAND TOTAL
MANIPUR,2024,390.0,State-Wise March-24,GRAND TOTAL
MEGHALAYA,2024,466.0,State-Wise March-24,GRAND TOTAL
MIZORAM,2024,174.0,State-Wise March-24,GRAND TOTAL
NAGALAND,2024,340.0,State-Wise March-24,GRAND TOTAL
DELHI,2024,7727.0,State-Wise March-24,GRAND TOTAL
ODISHA,2024,8756.0,State-Wise March-24,GRAND TOTAL
PUDUCHERRY,2024,644.0,State-Wise March-24,GRAND TOTAL
PUNJAB,2024,8339.0,State-Wise March-24,GRAND TOTAL
RAJASTHAN,2024,11718.0,State-Wise March-24,GRAND TOTAL
SIKKIM,2024,246.0,State-Wise March-24,GRAND TOTAL
TAMIL NADU,2024,30106.0,State-Wise March-24,GRAND TOTAL
TELANGANA,2024,10820.0,State-Wise March-24,GRAND TOTAL
TRIPURA,2024,668.0,State-Wise March-24,GRAND TOTAL
UTTAR PRADESH,2024,24165.0,State-Wise March-24,GRAND TOTAL
UTTARAKHAND,2024,3048.0,State-Wise March-24,GRAND TOTAL
WEST BENGAL,2024,13304.0,State-Wise March-24,GRAND TOTAL
