unit,year,age,persons,male,female,pdf_page
PUNJAB,2031,5,356,189,168,180
PUNJAB,2036,5,334,177,158,180
PUNJAB,2026,6,388,207,181,180
PUNJAB,2031,6,361,192,170,180
PUNJAB,2036,6,338,179,160,180
PUNJAB,2026,7,394,210,184,180
PUNJAB,2031,7,367,195,172,180
PUNJAB,2036,7,343,181,162,180
PUNJAB,2026,8,399,213,186,180
PUNJAB,2031,8,373,198,174,180
PUNJAB,2036,8,348,184,164,180
PUNJAB,2026,9,403,215,188,180
PUNJAB,2031,9,379,202,177,180
PUNJAB,2036,9,354,188,166,180
PUNJAB,2026,10,408,218,190,180
PUNJAB,2031,10,385,205,180,180
PUNJAB,2036,10,359,191,168,180
PUNJAB,2026,11,413,221,192,180
PUNJAB,2031,11,391,209,182,180
PUNJAB,2036,11,364,194,170,180
PUNJAB,2026,12,417,224,194,180
PUNJAB,2031,12,397,212,185,180
PUNJAB,2036,12,370,197,173,180
PUNJAB,2026,13,422,227,195,180
PUNJAB,2031,13,402,215,187,180
PUNJAB,2036,13,377,201,176,180
PUNJAB,2026,14,426,230,197,180
PUNJAB,2031,14,408,218,190,180
PUNJAB,2036,14,384,205,179,180
PUNJAB,2026,15,428,232,197,180
PUNJAB,2031,15,414,221,193,180
PUNJAB,2036,15,392,209,183,180
PUNJAB,2026,16,430,234,197,180
PUNJAB,2031,16,420,224,196,180
PUNJAB,2036,16,398,213,186,180
PUNJAB,2026,17,436,237,199,180
PUNJAB,2031,17,426,228,198,180
PUNJAB,2036,17,405,216,189,180
PUNJAB,2026,18,446,243,203,180
PUNJAB,2031,18,431,231,201,180
PUNJAB,2036,18,412,220,193,180
PUNJAB,2026,19,460,250,210,180
PUNJAB,2031,19,437,234,203,180
PUNJAB,2036,19,419,223,196,180
PUNJAB,2026,20,475,258,217,180
PUNJAB,2031,20,441,237,204,180
PUNJAB,2036,20,427,227,201,180
PUNJAB,2026,21,487,265,222,180
PUNJAB,2031,21,445,239,206,180
PUNJAB,2036,21,436,230,205,180
PUNJAB,2026,22,498,271,227,180
PUNJAB,2031,22,452,243,209,180
PUNJAB,2036,22,442,234,208,180
PUNJAB,2026,23,507,276,231,180
PUNJAB,2031,23,460,248,212,180
PUNJAB,2036,23,446,236,210,180
UTTARAKHAND,2011,5,203,108,96,184
UTTARAKHAND,2016,5,185,99,86,184
UTTARAKHAND,2021,5,172,94,78,184
UTTARAKHAND,2011,6,207,109,97,184
UTTARAKHAND,2016,6,190,101,89,184
UTTARAKHAND,2021,6,170,93,77,184
UTTARAKHAND,2011,7,210,111,99,184
UTTARAKHAND,2016,7,194,103,91,184
UTTARAKHAND,2021,7,171,94,77,184
UTTARAKHAND,2011,8,213,112,100,184
UTTARAKHAND,2016,8,197,104,93,184
UTTARAKHAND,2021,8,174,95,79,184
UTTARAKHAND,2011,9,216,114,102,184
UTTARAKHAND,2016,9,200,106,94,184
UTTARAKHAND,2021,9,180,98,83,184
UTTARAKHAND,2011,10,220,116,104,184
UTTARAKHAND,2016,10,204,108,96,184
UTTARAKHAND,2021,10,186,100,86,184
UTTARAKHAND,2011,11,224,118,106,184
