reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2016-09-30,NORTHERN REGION,Punjab,5489,2920938,4242210838000,1865233302000
2016-09-30,NORTHERN REGION,Rajasthan,5192,4897389,3634937131000,1823853901000
2016-09-30,SOUTHERN REGION,Andhra Pradesh,5347,9344288,2771912950000,2151601593000
2016-09-30,SOUTHERN REGION,Karnataka,7766,8638112,7818445802000,4688878384000
2016-09-30,SOUTHERN REGION,Kerala,5528,6868701,2940572046000,2272641031000
2016-09-30,SOUTHERN REGION,Lakshadweep,12,5673,1093515000,772352000
2016-09-30,SOUTHERN REGION,Puducherry,191,333775,103801317000,83730938000
2016-09-30,SOUTHERN REGION,Tamil Nadu,9402,29453078,10315715092000,6733809899000
2016-09-30,SOUTHERN REGION,Telangana,3978,5575140,5027332211000,3565743273000
2016-09-30,WESTERN REGION,Dadra & Nagar Haveli,54,24069,15972056000,11761060000
2016-09-30,WESTERN REGION,Daman & Diu,47,13465,12105924000,9175053000
2016-09-30,WESTERN REGION,Goa,640,279573,221940664000,153187000000
2016-09-30,WESTERN REGION,Gujarat,6539,4589863,5681047806000,3928538254000
2016-09-30,WESTERN REGION,Maharashtra,10905,24677351,34833606305000,22128529880000
2016-12-31,CENTRAL REGION,Chhattisgarh,1752,1223047,960574372000,672583214000
2016-12-31,CENTRAL REGION,Madhya Pradesh,4872,5509746,2344374115000,1677681553000
2016-12-31,CENTRAL REGION,Uttar Pradesh,12056,9738884,4006637852000,2872749705000
2016-12-31,CENTRAL REGION,Uttarakhand,1663,919517,463919205000,332591418000
2016-12-31,EASTERN REGION,Andaman & Nicobar Islands,61,41026,19375904000,14876480000
2016-12-31,EASTERN REGION,Bihar,4335,4980331,914524180000,701110659000
