march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source
2018,Dadra and Nagar Haveli,26,774.1610000000001,3876.755,IDP bank-group wise deposits (RBI BSR-2)
2018,Daman and Diu,25,587.8589999999999,4596.3026,IDP bank-group wise deposits (RBI BSR-2)
2018,Delhi,7,49891.675,1144641.5234,IDP bank-group wise deposits (RBI BSR-2)
2018,Goa,30,5757.458,65275.433099999995,IDP bank-group wise deposits (RBI BSR-2)
2018,Gujarat,24,94293.48,640357.9003,IDP bank-group wise deposits (RBI BSR-2)
2018,Haryana,6,50062.029,366392.9075,IDP bank-group wise deposits (RBI BSR-2)
2018,Himachal Pradesh,2,13232.267,84896.1811,IDP bank-group wise deposits (RBI BSR-2)
2018,Jammu and Kashmir,1,20068.062,100353.5857,IDP bank-group wise deposits (RBI BSR-2)
2018,Jharkhand,20,44821.51,195691.0753,IDP bank-group wise deposits (RBI BSR-2)
2018,Karnataka,29,117549.212,835662.1836,IDP bank-group wise deposits (RBI BSR-2)
2018,Kerala,32,69198.441,441923.4521,IDP bank-group wise deposits (RBI BSR-2)
