state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc,txn_count,txn_amount_inr,txn_count_p2p,txn_count_retail,txn_count_utility,registered_users_31mar,pp_users_per_adult,pp_txns_per_capita,pp_value_per_capita,pp_value_to_nsdp,pp_ticket_size_rs,ln_pp_users_per_adult,ln_pp_txns_per_capita,ln_pp_value_per_capita
DELHI,2019,3716.0,8080.0,5882615.0,50850314.0,1210108.0,1314165.0,338730.0,14289.6,19814.0,26.00492665994849,56.54461986339716,3.5585540532975037,0.4116710754674728,610733.8245684869,663250.7318057939,0.3667564018239053,0.4224238696451076,0.7439972050283903,0.9213578226573368,0.3945901357345064,0.8326775138428636,-0.4380873781083572,12.732958608842678,81210271,108647790291.45103,26476060,48542988,6191223.0,5182927.0,0.362706233904378,4.098630816594327,5483.384995026297,0.01618807012967938,1337.8577482083645,-1.0141620453461448,1.4106529707653728,8.609477889066369
DELHI,2020,3825.0,8559.0,6713375.0,53149594.0,1238245.0,1370412.0,355798.0,14682.4,20193.0,26.051599193592327,58.2942843131913,3.619952732523293,0.4572396202255762,613205.0710642302,678656.9603327886,0.3755305083426903,0.4803906058713634,0.7471455162523822,0.9430405976145771,0.4279605571070268,0.8450930569334797,-0.4171324998264528,12.782118433062603,226222870,330387808912.8812,78427269,122142106,25653495.0,7506500.0,0.5112583773769955,11.20303421977913,16361.501951809103,0.045985367966680825,1460.4527336819713,-0.6708801856919028,2.4161846540911687,9.702686412288093
DELHI,2021,3747.0,8202.0,7113677.0,52543234.0,1400864.0,1353058.0,322311.0,15079.0,20571.0,24.849127926255058,54.393527422242855,3.484530406525632,0.4717605278864646,680989.7428418647,657750.2309075884,0.3561781390684988,0.4988623307994423,0.8335016297925436,0.9136164002242664,0.4275202349339706,0.8735590150084049,-0.4460387800744343,12.683272196913958,347718038,594187832026.6547,136175553,169847288,41695197.0,9968730.0,0.6611002055839247,16.903312332895823,28884.732488778118,0.08961758205204948,1708.820846465994,-0.4138498536701455,2.827509598753654,10.271068446921939
DELHI,2022,3712.0,7996.0,7372252.0,57770996.0,1489930.0,1425079.0,370824.0,15448.5,20965.0,24.02822280480305,51.7590704599152,3.739586108683691,0.4772147457681975,710674.9344145004,679741.9508704984,0.3926265761876205,0.5058005205298642,0.8713198814220188,0.9445676167431508,0.4492135483587424,0.9079437490825848,-0.4587302007238424,12.823482835498364,697547141,1179138455399.825,269537655,347027930,80981556.0,12414526.0,0.8036072110560896,33.27198383019318,56243.18890531004,0.15167084359510183,1690.406835743629,-0.21864467264198517,3.5047157164520693,10.937440226607327
DELHI,2023,3775.0,7887.0,8354710.0,126406800.0,1658866.0,1535986.0,417217.0,15821.0,21359.0,23.86069148599962,49.85146324505404,7.989811010682005,0.5280772391125719,776659.0196170233,719128.2363406527,1.0,0.5705015714665137,0.9553820890592452,1.0,0.7852507857332569,0.9776910445296224,-0.1924402587963656,12.941361749121343,1390114904,2117683265358.796,467613563,807917435,114583906.0,14595060.0,0.9225118513368308,65.08333274029683,99147.1166889272,0.23763920618988968,1523.387210125758,-0.08065505617238217,4.175668490939729,11.504360053231881
GOA,2019,697.0,1008.0,439323.0,5782595.0,71135.0,19416.0,423716.0,1045.3,1540.0,66.67942217545203,96.43164641729648,5.531995599349469,0.4202841289581938,461915.5844155844,126077.92207792208,0.6487687602653676,0.4333803441704538,0.5544061882620992,0.1653391042494296,0.5410745522179107,0.3598726462557644,0.1812019059621462,12.956818698469515,2082749,4317080588.455332,969161,1069226,44362.0,248825.0,0.2380417105137281,1.3524344155844157,2803.299083412553,0.006615985904267371,2072.7800558086124,-1.4353093664065342,0.3019062393127909,7.93855224665441
GOA,2020,697.0,1001.0,491872.0,5976224.0,76533.0,20146.0,435949.0,1060.6,1549.0,65.71751838581935,94.38053931736754,5.6347576843296245,0.4637676786724495,494080.05164622335,130058.10200129116,0.6634538559559865,0.4886948043940121,0.5953829800837028,0.1709408221141569,0.5760743301749993,0.3831619010989299,0.1929124290760694,12.985280543012294,6628530,13255529063.79043,3214179,2815876,598475.0,410941.0,0.3874608712049783,4.279231762427372,8557.475186436688,0.019629532781212225,1999.7690383524598,-0.9481404128228498,1.4537734987226332,9.054560470772522
GOA,2021,687.0,989.0,529515.0,5868775.0,85771.0,22166.0,423047.0,1076.7,1559.0,63.80607411535247,91.85474133927742,5.450705860499675,0.4917943716912789,550166.7735728031,142180.8851828095,0.6371521451110025,0.5243469396583893,0.6668361744382599,0.1880024656643422,0.5807495423846959,0.427419320051301,0.1533302223333948,12.955238562967144,14189295,25224579440.47266,5747525,6298227,2143543.0,596406.0,0.553920312064642,9.101536241180243,16179.973983625825,0.038246279925459405,1777.7190086239423,-0.59073444361952,2.2084432169868125,9.691529582677063
GOA,2022,663.0,1027.0,545107.0,6013367.0,92900.0,24092.0,459094.0,1090.0,1567.0,60.825688073394495,94.22018348623853,5.516850458715596,0.5000981651376146,592852.5845564774,153746.01148691768,0.6466044616381137,0.5349100113328574,0.7212169163256358,0.2042792611542085,0.5907572364854856,0.4627480887399221,0.1280091477455635,13.037010261103775,38155824,61083005672.85698,14620846,18413048,5121930.0,759279.0,0.6965862385321101,24.349600510529676,38980.858757407135,0.08490822959439055,1600.8828867870075,-0.36156367643901305,3.192515443255605,10.570826003537379
GOA,2023,668.0,1038.0,576839.0,6320770.0,102038.0,27004.0,532854.0,1103.3,1575.0,60.54563581981329,94.08139218707514,5.728967642526965,0.5228305991117557,647860.3174603175,171453.96825396825,0.6769168199606997,0.5638274369595663,0.7912955034701447,0.2292014957465183,0.620372128460133,0.5102484996083315,0.1101236288518014,13.186002744423966,81550319,119463175405.89644,27552244,46985750,7012325.0,904953.0,0.8202238738330463,51.77798031746032,75849.63517834694,0.14234599942638498,1464.9013869080811,-0.19817795911659314,3.9469649684923827,11.23650817498722
