state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc
ARUNACHAL PRADESH,2018,154.0,248.0,104518.0,1546379.0,13449.0,3362.0,138836.0,1010.4,1489.0,15.24148851939826,24.54473475851148,1.5304621931908156,0.1034422011084719,90322.36400268637,22578.912021490934,0.0769343041038856,0.030332747312158615,0.08100496802755242,0.019674268795472728,0.05363352570802211,0.05033961841151257,0.003293907296509538,11.841048659419533
ARUNACHAL PRADESH,2019,155.0,207.0,91622.0,1548936.0,16659.0,3869.0,155103.0,1034.1,1504.0,14.988879218644232,20.017406440382942,1.4978590078328984,0.08860071559810465,110764.62765957447,25724.73404255319,0.07227518399268457,0.011453222404085504,0.1070479419784067,0.024101708698672016,0.04186420319838503,0.06557482533853935,-0.02371062214015432,11.951844691337337
ARUNACHAL PRADESH,2020,164.0,249.0,114234.0,1668551.0,17171.0,4338.0,182171.0,1058.1,1519.0,15.499480200359136,23.53274737737454,1.5769312919383802,0.10796144031755033,113041.47465437787,28558.262014483214,0.08357491636760696,0.03608157138733204,0.10994859270725911,0.028089624965313875,0.0598282438774695,0.0690191088362865,-0.009190864958816991,12.112701085387862
ARUNACHAL PRADESH,2021,169.0,254.0,130083.0,1603533.0,19525.0,5897.0,181537.0,1081.7,1533.0,15.623555514467967,23.481556808727003,1.4824193399278913,0.12025792733659979,127364.64448793216,38467.05805609915,0.07006879628986414,0.051723660098450384,0.12819598179928007,0.042035295983440864,0.060896228194157256,0.08511563889136047,-0.02421941069720321,12.10921476866039
ARUNACHAL PRADESH,2022,172.0,274.0,135606.0,1946181.0,24121.0,6053.0,190851.0,1103.9,1548.0,15.581121478394783,24.82108886674518,1.7630048011595254,0.12284264879065132,155820.4134366925,39102.06718346253,0.11016553380135616,0.05501162699624573,0.1644479772691842,0.042929009846005485,0.08258858039880095,0.10368849355759484,-0.021099913158793893,12.159248297876704
ARUNACHAL PRADESH,2023,187.0,283.0,148780.0,2093419.0,26656.0,7510.0,204469.0,1125.5,1562.0,16.614837849844513,25.14438027543314,1.8599902265659707,0.1321901377165704,170653.00896286813,48079.38540332906,0.12402512270483206,0.06690236056746086,0.18334436298239704,0.055563716019539675,0.09546374163614646,0.11945403950096836,-0.023990297864821902,12.22817165373213
ASSAM,2018,2374.0,3805.0,4115926.0,42720628.0,134287.0,57186.0,75151.0,22232.7,33918.0,10.6779653393425,17.11443054599756,1.9215222622533477,0.18512938149662433,39591.6622442361,16860.07429683354,0.1328182863729514,0.1342451997234148,0.016375220237429298,0.011625558419442048,0.1335317430481831,0.014000389328435673,0.11953135371974744,11.22725470181248
ASSAM,2019,2404.0,3700.0,4565307.0,41005351.0,147091.0,67360.0,81034.0,22702.9,34293.0,10.58895559598113,16.29747741477961,1.8061723832638121,0.2010891560109061,42892.42702592366,19642.492636981307,0.11633434668654145,0.15454727529793438,0.020580318687884964,0.015541542827995454,0.13544081099223793,0.01806093075794021,0.11737988023429771,11.302624098669314
ASSAM,2020,2957.0,3926.0,5328692.0,44199128.0,164299.0,72954.0,90123.0,23178.0,34668.0,12.757787557166278,16.938476141168348,1.9069431357321598,0.22990301147640002,47392.11953386408,21043.61370716511,0.1307348733311605,0.19120074247131233,0.026312823499389074,0.017513485071965873,0.1609678079012364,0.021913154285677472,0.13905465361555894,11.408930682940186
ASSAM,2021,3020.0,4218.0,6014883.0,47975276.0,173014.0,83235.0,86947.0,23658.0,35043.0,12.765237974469523,17.829064164341872,2.027866937188266,0.25424308901851383,49371.91450503667,23752.24723910624,0.1480153478952881,0.2221632158638695,0.028835036779076756,0.021325624507117488,0.1850892818795788,0.025080330643097122,0.16000895123648168,11.373054016599507
