state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000
TRIPURA,2021,579.0,526.0,1141700.0,5795488.0,28400.0,12093.0,118401.0,2872.5,4071.0
TRIPURA,2022,589.0,566.0,1065510.0,6099956.0,31304.0,13562.0,137032.0,2930.1,4109.0
TRIPURA,2023,613.0,605.0,1009613.0,7100330.0,34065.0,14499.0,153584.0,2988.2,4147.0
UTTAR PRADESH,2018,17068.0,19937.0,17301362.0,258710682.0,953578.0,392666.0,59595.0,137148.0,222015.0
UTTAR PRADESH,2019,17462.0,20192.0,19621775.0,270239353.0,1041507.0,470245.0,64113.0,140532.4,224979.0
UTTAR PRADESH,2020,18041.0,21969.0,21841525.0,281156529.0,1144902.0,507550.0,67639.0,143957.7,227943.0
UTTAR PRADESH,2021,18125.0,22127.0,24225667.0,283999568.0,1277878.0,565113.0,63464.0,147424.0,230907.0
UTTAR PRADESH,2022,18073.0,24322.0,25307527.0,305323727.0,1394177.0,646284.0,76063.0,150223.7,233297.0
UTTAR PRADESH,2023,18415.0,24746.0,28162680.0,361038793.0,1548627.0,755489.0,84640.0,153049.6,235687.0
UTTARAKHAND,2018,2053.0,2677.0,1230009.0,19150429.0,122536.0,44608.0,180857.0,7536.5,11013.0
UTTARAKHAND,2019,2126.0,2606.0,1391399.0,19457870.0,137040.0,53036.0,186207.0,7709.6,11141.0
UTTARAKHAND,2020,2194.0,2781.0,1513394.0,20252707.0,149549.0,56551.0,190558.0,7885.3,11270.0
UTTARAKHAND,2021,2220.0,2809.0,1692536.0,20080177.0,165333.0,60740.0,174526.0,8063.0,11399.0
UTTARAKHAND,2022,2176.0,2938.0,1763535.0,21882622.0,180784.0,67751.0,194670.0,8212.3,11518.0
UTTARAKHAND,2023,2202.0,3051.0,1961119.0,23136832.0,200425.0,77094.0,219850.0,8362.9,11637.0
WEST BENGAL,2018,8018.0,11722.0,11307859.0,146805494.0,718580.0,367323.0,91401.0,69361.6,96297.0
WEST BENGAL,2019,8170.0,11338.0,13101376.0,147376054.0,779291.0,403677.0,103920.0,70449.7,96906.0
WEST BENGAL,2020,9251.0,12292.0,16251170.0,152653530.0,827832.0,429211.0,110316.0,71546.6,97516.0
WEST BENGAL,2021,9379.0,12766.0,18728314.0,158614408.0,889011.0,437348.0,105108.0,72651.0,98125.0
WEST BENGAL,2022,9616.0,13410.0,17386744.0,172418288.0,978185.0,479463.0,122883.0,73516.6,98604.0
WEST BENGAL,2023,9761.0,13633.0,18189485.0,182483391.0,1056367.0,535875.0,137909.0,74387.8,99084.0
